Country,Symptom,Gender,Condition,0-30,30-60,>60,0-30-per,30-60-per,>60-per
Aleppo,laceration,T,H,2221,17648,1019,10.63289927,84.48870165,4.878399081
Aleppo,laceration,T,D,4,14,0,22.22222222,77.77777778,0
Aleppo,migraine,M,H,115,1069,55,9.281678773,86.27925747,4.439063761
Aleppo,migraine,M,D,0,1,0,0,100,0
Aleppo,migraine,F,H,134,1161,67,9.838472834,85.24229075,4.919236417
Aleppo,migraine,F,D,0,0,0,0,0,0
Aleppo,migraine,T,H,249,2230,122,9.573241061,85.73625529,4.690503652
Aleppo,migraine,T,D,0,1,0,0,100,0
Aleppo,pregnant,M,H,0,0,0,0,0,0
Aleppo,pregnant,M,D,0,0,0,0,0,0
Aleppo,pregnant,F,H,261,1402,27,15.44378698,82.95857988,1.597633136
Aleppo,pregnant,F,D,6,37,0,13.95348837,86.04651163,0
Aleppo,pregnant,T,H,261,1402,27,15.44378698,82.95857988,1.597633136
Aleppo,pregnant,T,D,6,37,0,13.95348837,86.04651163,0
Aleppo,rash,M,H,0,0,0,0,0,0
Aleppo,rash,M,D,0,0,0,0,0,0
Aleppo,rash,F,H,0,0,0,0,0,0
Aleppo,rash,F,D,0,0,0,0,0,0
Aleppo,rash,T,H,0,0,0,0,0,0
Aleppo,rash,T,D,0,0,0,0,0,0
Aleppo,urinate,M,H,1207,9372,592,10.80476233,83.89580163,5.29943604
Aleppo,urinate,M,D,0,16,0,0,100,0
Aleppo,urinate,F,H,1214,9488,543,10.79590929,84.3752779,4.828812806
Aleppo,urinate,F,D,0,9,1,0,90,10
Aleppo,urinate,T,H,2421,18860,1135,10.8003212,84.13633119,5.063347609
Aleppo,urinate,T,D,0,25,1,0,96.15384615,3.846153846
Aleppo,vaginal,M,H,0,0,0,0,0,0
Aleppo,vaginal,M,D,0,0,0,0,0,0
Aleppo,vaginal,F,H,219,1088,0,16.75592961,83.24407039,0
Aleppo,vaginal,F,D,16,83,0,16.16161616,83.83838384,0
Aleppo,vaginal,T,H,219,1088,0,16.75592961,83.24407039,0
Aleppo,vaginal,T,D,16,83,0,16.16161616,83.83838384,0
Aleppo,vision,M,H,791,6433,360,10.42985232,84.82331224,4.746835443
Aleppo,vision,M,D,0,11,2,0,84.61538462,15.38461538
Aleppo,vision,F,H,850,6770,414,10.58003485,84.26686582,5.153099328
Aleppo,vision,F,D,1,8,0,11.11111111,88.88888889,0
Aleppo,vision,T,H,1641,13203,774,10.50710718,84.53707261,4.955820207
Aleppo,vision,T,D,1,19,2,4.545454545,86.36363636,9.090909091
Aleppo,vomiting,M,H,16105,123524,7779,10.92545859,83.79735157,5.27718984
Aleppo,vomiting,M,D,1751,13321,852,10.99598091,83.65360462,5.350414469
Aleppo,vomiting,F,H,16257,123363,7735,11.03254046,83.71823148,5.249228055
Aleppo,vomiting,F,D,1680,12944,848,10.85832472,83.66080662,5.480868666
Aleppo,vomiting,T,H,32362,246887,15514,10.9789899,83.75779864,5.263211461
Aleppo,vomiting,T,D,3431,26265,1700,10.92814371,83.65715378,5.41470251
Aleppo,Heart Problems,M,H,827,6721,371,10.44323778,84.87182725,4.684934967
Aleppo,Heart Problems,M,D,0,8,0,0,100,0
Aleppo,Heart Problems,F,H,777,6549,379,10.0843608,84.99675535,4.918883842
Aleppo,Heart Problems,F,D,0,7,0,0,100,0
Aleppo,Heart Problems,T,H,1604,13270,750,10.26625704,84.93343574,4.80030722
Aleppo,Heart Problems,T,D,0,15,0,0,100,0
Aleppo,Vocal Problems,M,H,141,1138,76,10.40590406,83.98523985,5.608856089
Aleppo,Vocal Problems,M,D,0,0,0,0,0,0
Aleppo,Vocal Problems,F,H,136,1081,68,10.58365759,84.12451362,5.291828794
Aleppo,Vocal Problems,F,D,0,0,0,0,0,0
Aleppo,Vocal Problems,T,H,277,2219,144,10.49242424,84.0530303,5.454545455
Aleppo,Vocal Problems,T,D,0,0,0,0,0,0
Aleppo,others,M,H,49799,395168,23107,10.63912971,84.4242577,4.936612587
Aleppo,others,M,D,893,6937,507,10.71128703,83.20738875,6.081324217
Aleppo,others,F,H,50012,392073,23261,10.74727192,84.25408191,4.998646169
Aleppo,others,F,D,922,6901,425,11.17846751,83.66876819,5.152764306
Aleppo,others,T,H,99811,787241,46368,10.69304279,84.33941848,4.967538729
Aleppo,others,T,D,1815,13838,932,10.94362376,83.43684052,5.619535725
Colombia,abdominal pain,M,H,4089,21734,1757,14.82596084,78.80348078,6.370558376
Colombia,abdominal pain,M,D,396,1900,154,16.16326531,77.55102041,6.285714286
Colombia,abdominal pain,F,H,3908,21929,1691,14.19645452,79.6607091,6.142836385
Colombia,abdominal pain,F,D,378,1958,141,15.26039564,79.04723456,5.692369802
Colombia,abdominal pain,T,H,7997,43663,3448,14.51150468,79.2316905,6.25680482
Colombia,abdominal pain,T,D,774,3858,295,15.70935661,78.30322712,5.987416278
Colombia,abscess,M,H,72,372,26,15.31914894,79.14893617,5.531914894
Colombia,abscess,M,D,0,1,0,0,100,0
Colombia,abscess,F,H,70,383,26,14.61377871,79.95824635,5.427974948
Colombia,abscess,F,D,1,1,0,50,50,0
Colombia,abscess,T,H,142,755,52,14.96311907,79.55742887,5.479452055
Colombia,abscess,T,D,1,2,0,33.33333333,66.66666667,0
Colombia,injury,M,H,3037,18280,1336,13.40661281,80.69571359,5.897673597
Colombia,injury,M,D,28,142,17,14.97326203,75.93582888,9.090909091
Colombia,injury,F,H,2980,18355,1289,13.1718529,81.13065771,5.697489392
Colombia,injury,F,D,35,139,12,18.8172043,74.7311828,6.451612903
Colombia,injury,T,H,6017,36635,2625,13.28930804,80.91304636,5.797645604
Colombia,injury,T,D,63,281,29,16.89008043,75.33512064,7.774798928
Colombia,bleeding,M,H,1506,9050,696,13.38428724,80.43014575,6.18556701
Colombia,bleeding,M,D,106,501,34,16.53666147,78.15912637,5.304212168
Colombia,bleeding,F,H,1707,9292,724,14.56111917,79.26298729,6.175893543
Colombia,bleeding,F,D,102,433,35,17.89473684,75.96491228,6.140350877
Colombia,bleeding,T,H,3213,18342,1420,13.98476605,79.83460283,6.180631121
Colombia,bleeding,T,D,208,934,69,17.1758877,77.12634187,5.697770438
Colombia,body pain,M,H,11391,66394,4859,13.78321475,80.33735056,5.879434684
Colombia,body pain,M,D,436,1947,156,17.17211501,76.68373375,6.144151241
Colombia,body pain,F,H,11069,66138,4922,13.47757796,80.52941105,5.993010995
Colombia,body pain,F,D,376,1971,141,15.11254019,79.22025723,5.667202572
Colombia,body pain,T,H,22460,132532,9781,13.63087399,80.43308066,5.936045347
Colombia,body pain,T,D,812,3918,297,16.15277501,77.9391287,5.90809628
Colombia,breathing,M,H,129,733,60,13.99132321,79.5010846,6.507592191
Colombia,breathing,M,D,0,0,0,0,0,0
Colombia,breathing,F,H,123,767,59,12.96101159,80.82191781,6.217070601
Colombia,breathing,F,D,0,0,0,0,0,0
Colombia,breathing,T,H,252,1500,119,13.4687333,80.17103153,6.360235168
Colombia,breathing,T,D,0,0,0,0,0,0
Colombia,chest,M,H,0,0,0,0,0,0
Colombia,chest,M,D,0,0,0,0,0,0
Colombia,chest,F,H,0,0,0,0,0,0
Colombia,chest,F,D,0,0,0,0,0,0
Colombia,chest,T,H,0,0,0,0,0,0
Colombia,chest,T,D,0,0,0,0,0,0
Colombia,cough,M,H,1077,6886,532,12.67804591,81.05944673,6.262507357
Colombia,cough,M,D,1,5,0,16.66666667,83.33333333,0
Colombia,cough,F,H,1079,6702,477,13.0661177,81.15766529,5.776217002
Colombia,cough,F,D,1,10,1,8.333333333,83.33333333,8.333333333
Colombia,cough,T,H,2156,13588,1009,12.86933684,81.10786128,6.022801886
Colombia,cough,T,D,2,15,1,11.11111111,83.33333333,5.555555556
Colombia,cramp,M,H,0,0,0,0,0,0
Colombia,cramp,M,D,0,0,0,0,0,0
Colombia,cramp,F,H,0,0,0,0,0,0
Colombia,cramp,F,D,0,0,0,0,0,0
Colombia,cramp,T,H,0,0,0,0,0,0
Colombia,cramp,T,D,0,0,0,0,0,0
Colombia,deficit,M,H,0,0,0,0,0,0
Colombia,deficit,M,D,0,0,0,0,0,0
Colombia,deficit,F,H,0,0,0,0,0,0
Colombia,deficit,F,D,0,0,0,0,0,0
Colombia,deficit,T,H,0,0,0,0,0,0
Colombia,deficit,T,D,0,0,0,0,0,0
Colombia,diabetic,M,H,0,0,0,0,0,0
Colombia,diabetic,M,D,0,0,0,0,0,0
Colombia,diabetic,F,H,0,0,0,0,0,0
Colombia,diabetic,F,D,0,0,0,0,0,0
Colombia,diabetic,T,H,0,0,0,0,0,0
Colombia,diabetic,T,D,0,0,0,0,0,0
Colombia,diarrhea,M,H,0,0,0,0,0,0
Colombia,diarrhea,M,D,0,0,0,0,0,0
Colombia,diarrhea,F,H,0,0,0,0,0,0
Colombia,diarrhea,F,D,0,0,0,0,0,0
Colombia,diarrhea,T,H,0,0,0,0,0,0
Colombia,diarrhea,T,D,0,0,0,0,0,0
Colombia,dizziness,M,H,353,2249,159,12.78522275,81.4559942,5.75878305
Colombia,dizziness,M,D,0,4,1,0,80,20
Colombia,dizziness,F,H,340,2276,179,12.16457961,81.43112701,6.404293381
Colombia,dizziness,F,D,0,1,0,0,100,0
Colombia,dizziness,T,H,693,4525,338,12.47300216,81.44348452,6.083513319
Colombia,dizziness,T,D,0,5,1,0,83.33333333,16.66666667
Colombia,fatigue,M,H,0,0,0,0,0,0
Colombia,fatigue,M,D,0,0,0,0,0,0
Colombia,fatigue,F,H,0,0,0,0,0,0
Colombia,fatigue,F,D,0,0,0,0,0,0
Colombia,fatigue,T,H,0,0,0,0,0,0
Colombia,fatigue,T,D,0,0,0,0,0,0
Colombia,fever,M,H,4065,23513,1757,13.85716721,80.15340037,5.989432419
Colombia,fever,M,D,148,788,66,14.77045908,78.64271457,6.586826347
Colombia,fever,F,H,3894,23270,1702,13.48991894,80.61387099,5.896210074
Colombia,fever,F,D,161,823,78,15.16007533,77.4952919,7.344632768
Colombia,fever,T,H,7959,46783,3459,13.67502277,80.38178038,5.943196852
Colombia,fever,T,D,309,1611,144,14.97093023,78.05232558,6.976744186
Colombia,headache,M,H,1043,6218,412,13.59311873,81.03740388,5.369477388
Colombia,headache,M,D,20,75,7,19.60784314,73.52941176,6.862745098
Colombia,headache,F,H,1034,6254,445,13.371266,80.87417561,5.754558386
Colombia,headache,F,D,15,70,8,16.12903226,75.2688172,8.602150538
Colombia,headache,T,H,2077,12472,857,13.48176035,80.95547189,5.562767753
Colombia,headache,T,D,35,145,15,17.94871795,74.35897436,7.692307692
Colombia,infections,M,H,0,0,0,0,0,0
Colombia,infections,M,D,0,0,0,0,0,0
Colombia,infections,F,H,0,0,0,0,0,0
Colombia,infections,F,D,0,0,0,0,0,0
Colombia,infections,T,H,0,0,0,0,0,0
Colombia,infections,T,D,0,0,0,0,0,0
Colombia,laceration,M,H,473,3048,197,12.72189349,81.9795589,5.298547606
Colombia,laceration,M,D,0,2,0,0,100,0
Colombia,laceration,F,H,498,2946,216,13.60655738,80.49180328,5.901639344
Colombia,laceration,F,D,0,1,0,0,100,0
Colombia,laceration,T,H,971,5994,413,13.16074817,81.24152887,5.59772296
Colombia,laceration,T,D,0,3,0,0,100,0
Colombia,migraine,M,H,54,372,20,12.10762332,83.40807175,4.484304933
Colombia,migraine,M,D,0,1,0,0,100,0
Colombia,migraine,F,H,61,363,25,13.5857461,80.84632517,5.567928731
Colombia,migraine,F,D,0,1,0,0,100,0
Colombia,migraine,T,H,115,735,45,12.84916201,82.12290503,5.027932961
Colombia,migraine,T,D,0,2,0,0,100,0
Colombia,pregnant,M,H,0,0,0,0,0,0
Colombia,pregnant,M,D,0,0,0,0,0,0
Colombia,pregnant,F,H,100,412,16,18.93939394,78.03030303,3.03030303
Colombia,pregnant,F,D,1,10,0,9.090909091,90.90909091,0
Colombia,pregnant,T,H,100,412,16,18.93939394,78.03030303,3.03030303
Colombia,pregnant,T,D,1,10,0,9.090909091,90.90909091,0
Colombia,rash,M,H,0,0,0,0,0,0
Colombia,rash,M,D,0,0,0,0,0,0
Colombia,rash,F,H,0,0,0,0,0,0
Colombia,rash,F,D,0,0,0,0,0,0
Colombia,rash,T,H,0,0,0,0,0,0
Colombia,rash,T,D,0,0,0,0,0,0
Colombia,urinate,M,H,540,3209,254,13.48988259,80.16487634,6.345241069
Colombia,urinate,M,D,0,3,1,0,75,25
Colombia,urinate,F,H,519,3239,239,12.98473855,81.03577683,5.979484613
Colombia,urinate,F,D,0,5,0,0,100,0
Colombia,urinate,T,H,1059,6448,493,13.2375,80.6,6.1625
Colombia,urinate,T,D,0,8,1,0,88.88888889,11.11111111
Colombia,vaginal,M,H,0,0,0,0,0,0
Colombia,vaginal,M,D,0,0,0,0,0,0
Colombia,vaginal,F,H,118,262,0,31.05263158,68.94736842,0
Colombia,vaginal,F,D,5,12,0,29.41176471,70.58823529,0
Colombia,vaginal,T,H,118,262,0,31.05263158,68.94736842,0
Colombia,vaginal,T,D,5,12,0,29.41176471,70.58823529,0
Colombia,vision,M,H,364,2247,147,13.19796954,81.47208122,5.329949239
Colombia,vision,M,D,1,1,0,50,50,0
Colombia,vision,F,H,336,2305,176,11.92758253,81.82463614,6.247781328
Colombia,vision,F,D,0,2,0,0,100,0
Colombia,vision,T,H,700,4552,323,12.55605381,81.65022422,5.793721973
Colombia,vision,T,D,1,3,0,25,75,0
Colombia,vomiting,M,H,5403,29027,2232,14.73733021,79.17462222,6.08804757
Colombia,vomiting,M,D,504,2501,214,15.65703635,77.69493632,6.648027338
Colombia,vomiting,F,H,5254,28965,2282,14.39412619,79.3539903,6.25188351
Colombia,vomiting,F,D,523,2507,196,16.21202728,77.71233726,6.075635462
Colombia,vomiting,T,H,10657,57992,4514,14.56610582,79.26410891,6.169785274
Colombia,vomiting,T,D,1027,5008,410,15.9348332,77.70364624,6.361520559
Colombia,Heart Problems,M,H,362,2293,146,12.92395573,81.86362014,5.212424134
Colombia,Heart Problems,M,D,0,4,0,0,100,0
Colombia,Heart Problems,F,H,373,2202,187,13.50470673,79.72483707,6.770456191
Colombia,Heart Problems,F,D,1,2,0,33.33333333,66.66666667,0
Colombia,Heart Problems,T,H,735,4495,333,13.21229552,80.80172569,5.985978788
Colombia,Heart Problems,T,D,1,6,0,14.28571429,85.71428571,0
Colombia,Vocal Problems,M,H,56,349,37,12.66968326,78.95927602,8.371040724
Colombia,Vocal Problems,M,D,0,1,0,0,100,0
Colombia,Vocal Problems,F,H,56,347,23,13.14553991,81.45539906,5.399061033
Colombia,Vocal Problems,F,D,0,0,0,0,0,0
Colombia,Vocal Problems,T,H,112,696,60,12.90322581,80.1843318,6.912442396
Colombia,Vocal Problems,T,D,0,1,0,0,100,0
Colombia,others,M,H,20903,127278,9318,13.2718303,80.81194166,5.91622804
Colombia,others,M,D,273,1349,134,15.54669704,76.82232346,7.630979499
Colombia,others,F,H,20869,127293,9112,13.26919898,80.93709068,5.79371034
Colombia,others,F,D,288,1381,115,16.14349776,77.4103139,6.446188341
Colombia,others,T,H,41772,254571,18430,13.27051558,80.87447144,5.855012978
Colombia,others,T,D,561,2730,249,15.84745763,77.11864407,7.033898305
Iran,abdominal pain,M,H,2634,16288,1657,12.79945576,79.14864668,8.051897565
Iran,abdominal pain,M,D,228,1378,128,13.14878893,79.46943483,7.38177624
Iran,abdominal pain,F,H,2678,16510,1613,12.87438104,79.37118408,7.754434883
Iran,abdominal pain,F,D,241,1459,145,13.06233062,79.07859079,7.859078591
Iran,abdominal pain,T,H,5312,32798,3270,12.83711938,79.26051232,7.902368294
Iran,abdominal pain,T,D,469,2837,273,13.10421906,79.26795194,7.627829003
Iran,abscess,M,H,39,264,16,12.22570533,82.75862069,5.015673981
Iran,abscess,M,D,0,1,0,0,100,0
Iran,abscess,F,H,44,315,24,11.48825065,82.24543081,6.266318538
Iran,abscess,F,D,0,1,0,0,100,0
Iran,abscess,T,H,83,579,40,11.82336182,82.47863248,5.698005698
Iran,abscess,T,D,0,2,0,0,100,0
Iran,injury,M,H,2081,14330,1251,11.7823576,81.13463934,7.083003057
Iran,injury,M,D,18,99,10,14.17322835,77.95275591,7.874015748
Iran,injury,F,H,2088,14351,1148,11.87240575,81.60004549,6.527548758
Iran,injury,F,D,16,109,15,11.42857143,77.85714286,10.71428571
Iran,injury,T,H,4169,28681,2399,11.82728588,81.36684729,6.805866833
Iran,injury,T,D,34,208,25,12.7340824,77.90262172,9.36329588
Iran,bleeding,M,H,1091,6923,619,12.63755357,80.19228542,7.17016101
Iran,bleeding,M,D,51,323,42,12.25961538,77.64423077,10.09615385
Iran,bleeding,F,H,1094,6995,628,12.55018929,80.2454973,7.204313411
Iran,bleeding,F,D,68,322,43,15.70438799,74.36489607,9.930715935
Iran,bleeding,T,H,2185,13918,1247,12.59365994,80.21902017,7.187319885
Iran,bleeding,T,D,119,645,85,14.01648999,75.97173145,10.01177856
Iran,body pain,M,H,7733,51480,4675,12.10399449,80.5785124,7.317493113
Iran,body pain,M,D,208,1421,139,11.76470588,80.37330317,7.86199095
Iran,body pain,F,H,7704,50993,4494,12.19160956,80.69661819,7.111772246
Iran,body pain,F,D,233,1483,142,12.54036598,79.81700753,7.64262648
Iran,body pain,T,H,15437,102473,9169,12.14756175,80.6372414,7.215196846
Iran,body pain,T,D,441,2904,281,12.16216216,80.08825152,7.749586321
Iran,breathing,M,H,77,585,59,10.67961165,81.13730929,8.183079057
Iran,breathing,M,D,0,0,0,0,0,0
Iran,breathing,F,H,74,561,36,11.02831595,83.60655738,5.365126677
Iran,breathing,F,D,0,1,0,0,100,0
Iran,breathing,T,H,151,1146,95,10.84770115,82.32758621,6.824712644
Iran,breathing,T,D,0,1,0,0,100,0
Iran,chest,M,H,0,0,0,0,0,0
Iran,chest,M,D,0,0,0,0,0,0
Iran,chest,F,H,0,0,0,0,0,0
Iran,chest,F,D,0,0,0,0,0,0
Iran,chest,T,H,0,0,0,0,0,0
Iran,chest,T,D,0,0,0,0,0,0
Iran,cough,M,H,725,5343,398,11.21249613,82.63223013,6.15527374
Iran,cough,M,D,1,8,0,11.11111111,88.88888889,0
Iran,cough,F,H,712,5422,453,10.80916958,82.31364809,6.877182329
Iran,cough,F,D,2,4,0,33.33333333,66.66666667,0
Iran,cough,T,H,1437,10765,851,11.00896346,82.4714625,6.519574044
Iran,cough,T,D,3,12,0,20,80,0
Iran,cramp,M,H,0,0,0,0,0,0
Iran,cramp,M,D,0,0,0,0,0,0
Iran,cramp,F,H,0,0,0,0,0,0
Iran,cramp,F,D,0,0,0,0,0,0
Iran,cramp,T,H,0,0,0,0,0,0
Iran,cramp,T,D,0,0,0,0,0,0
Iran,deficit,M,H,0,0,0,0,0,0
Iran,deficit,M,D,0,0,0,0,0,0
Iran,deficit,F,H,0,0,0,0,0,0
Iran,deficit,F,D,0,0,0,0,0,0
Iran,deficit,T,H,0,0,0,0,0,0
Iran,deficit,T,D,0,0,0,0,0,0
Iran,diabetic,M,H,0,0,0,0,0,0
Iran,diabetic,M,D,0,0,0,0,0,0
Iran,diabetic,F,H,0,0,0,0,0,0
Iran,diabetic,F,D,0,0,0,0,0,0
Iran,diabetic,T,H,0,0,0,0,0,0
Iran,diabetic,T,D,0,0,0,0,0,0
Iran,diarrhea,M,H,0,0,0,0,0,0
Iran,diarrhea,M,D,0,0,0,0,0,0
Iran,diarrhea,F,H,0,0,0,0,0,0
Iran,diarrhea,F,D,0,0,0,0,0,0
Iran,diarrhea,T,H,0,0,0,0,0,0
Iran,diarrhea,T,D,0,0,0,0,0,0
Iran,dizziness,M,H,254,1812,166,11.37992832,81.1827957,7.437275986
Iran,dizziness,M,D,1,3,0,25,75,0
Iran,dizziness,F,H,246,1767,145,11.39944393,81.88137164,6.71918443
Iran,dizziness,F,D,1,1,0,50,50,0
Iran,dizziness,T,H,500,3579,311,11.38952164,81.5261959,7.08428246
Iran,dizziness,T,D,2,4,0,33.33333333,66.66666667,0
Iran,fatigue,M,H,0,0,0,0,0,0
Iran,fatigue,M,D,0,0,0,0,0,0
Iran,fatigue,F,H,0,0,0,0,0,0
Iran,fatigue,F,D,0,0,0,0,0,0
Iran,fatigue,T,H,0,0,0,0,0,0
Iran,fatigue,T,D,0,0,0,0,0,0
Iran,fever,M,H,2646,17797,1646,11.97881298,80.56951424,7.451672778
Iran,fever,M,D,106,594,69,13.78413524,77.24317295,8.972691808
Iran,fever,F,H,2634,18193,1647,11.72021002,80.95132153,7.328468452
Iran,fever,F,D,113,594,58,14.77124183,77.64705882,7.581699346
Iran,fever,T,H,5280,35990,3293,11.84839441,80.76206719,7.389538406
Iran,fever,T,D,219,1188,127,14.27640156,77.44458931,8.279009126
