COUNTRY,DATE,SYMPTOM,HOSPITALIZED
Aleppo,4/19/2009,deficit,0
Aleppo,4/19/2009,diabetic,0
Aleppo,4/19/2009,diarrhea,0
Aleppo,4/19/2009,dizziness,213
Aleppo,4/19/2009,fatigue,0
Aleppo,4/19/2009,fever,1660
Aleppo,4/19/2009,headache,686
Aleppo,4/19/2009,infections,0
Aleppo,4/19/2009,laceration,304
Aleppo,4/19/2009,migraine,44
Aleppo,4/19/2009,pregnant,17
Aleppo,4/19/2009,rash,0
Aleppo,4/19/2009,urinate,295
Aleppo,4/19/2009,vaginal,10
Aleppo,4/19/2009,vision,196
Aleppo,4/19/2009,vomiting,1209
Aleppo,4/19/2009,Heart Problems,203
Aleppo,4/19/2009,Vocal Problems,34
Aleppo,4/19/2009,others,11143
Aleppo,4/20/2009,abdominal pain,1310
Aleppo,4/20/2009,abscess,47
Aleppo,4/20/2009,injury,2391
Aleppo,4/20/2009,bleeding,816
Aleppo,4/20/2009,body pain,7411
Aleppo,4/20/2009,breathing,113
Aleppo,4/20/2009,chest,0
Aleppo,4/20/2009,cough,932
Aleppo,4/20/2009,cramp,0
Aleppo,4/20/2009,deficit,0
Aleppo,4/20/2009,diabetic,0
Aleppo,4/20/2009,diarrhea,0
Aleppo,4/20/2009,dizziness,285
Aleppo,4/20/2009,fatigue,0
Aleppo,4/20/2009,fever,2392
Aleppo,4/20/2009,headache,818
Aleppo,4/20/2009,infections,0
Aleppo,4/20/2009,laceration,407
Aleppo,4/20/2009,migraine,47
Aleppo,4/20/2009,pregnant,23
Aleppo,4/20/2009,rash,0
Aleppo,4/20/2009,urinate,432
Aleppo,4/20/2009,vaginal,12
Aleppo,4/20/2009,vision,293
Aleppo,4/20/2009,vomiting,1693
Aleppo,4/20/2009,Heart Problems,266
Aleppo,4/20/2009,Vocal Problems,52
Aleppo,4/20/2009,others,16197
Aleppo,4/21/2009,abdominal pain,1180
Aleppo,4/21/2009,abscess,48
Aleppo,4/21/2009,injury,2204
Aleppo,4/21/2009,bleeding,788
Aleppo,4/21/2009,body pain,6727
Aleppo,4/21/2009,breathing,78
Aleppo,4/21/2009,chest,0
Aleppo,4/21/2009,cough,913
Aleppo,4/21/2009,cramp,0
Aleppo,4/21/2009,deficit,0
Aleppo,4/21/2009,diabetic,0
Aleppo,4/21/2009,diarrhea,0
Aleppo,4/21/2009,dizziness,277
Aleppo,4/21/2009,fatigue,0
Aleppo,4/21/2009,fever,2327
Aleppo,4/21/2009,headache,737
Aleppo,4/21/2009,infections,0
Aleppo,4/21/2009,laceration,376
Aleppo,4/21/2009,migraine,44
Aleppo,4/21/2009,pregnant,34
Aleppo,4/21/2009,rash,0
Aleppo,4/21/2009,urinate,378
Aleppo,4/21/2009,vaginal,19
Aleppo,4/21/2009,vision,286
Aleppo,4/21/2009,vomiting,1524
Aleppo,4/21/2009,Heart Problems,292
Aleppo,4/21/2009,Vocal Problems,60
Aleppo,4/21/2009,others,15241
Aleppo,4/22/2009,abdominal pain,866
Aleppo,4/22/2009,abscess,21
Aleppo,4/22/2009,injury,1645
Aleppo,4/22/2009,bleeding,535
Aleppo,4/22/2009,body pain,5113
Aleppo,4/22/2009,breathing,73
Aleppo,4/22/2009,chest,0
Aleppo,4/22/2009,cough,617
Aleppo,4/22/2009,cramp,0
Aleppo,4/22/2009,deficit,0
Aleppo,4/22/2009,diabetic,0
Aleppo,4/22/2009,diarrhea,0
Aleppo,4/22/2009,dizziness,202
Aleppo,4/22/2009,fatigue,0
Aleppo,4/22/2009,fever,1740
Aleppo,4/22/2009,headache,544
Aleppo,4/22/2009,infections,0
Aleppo,4/22/2009,laceration,281
Aleppo,4/22/2009,migraine,37
Aleppo,4/22/2009,pregnant,20
Aleppo,4/22/2009,rash,0
Aleppo,4/22/2009,urinate,288
Aleppo,4/22/2009,vaginal,10
Aleppo,4/22/2009,vision,218
Aleppo,4/22/2009,vomiting,1167
Aleppo,4/22/2009,Heart Problems,213
Aleppo,4/22/2009,Vocal Problems,31
Aleppo,4/22/2009,others,11020
Aleppo,4/23/2009,abdominal pain,878
Aleppo,4/23/2009,abscess,41
Aleppo,4/23/2009,injury,1656
Aleppo,4/23/2009,bleeding,594
Aleppo,4/23/2009,body pain,5041
Aleppo,4/23/2009,breathing,62
Aleppo,4/23/2009,chest,0
Aleppo,4/23/2009,cough,592
Aleppo,4/23/2009,cramp,0
Aleppo,4/23/2009,deficit,0
Aleppo,4/23/2009,diabetic,0
Aleppo,4/23/2009,diarrhea,0
Aleppo,4/23/2009,dizziness,225
Aleppo,4/23/2009,fatigue,0
Aleppo,4/23/2009,fever,1699
Aleppo,4/23/2009,headache,540
Aleppo,4/23/2009,infections,0
Aleppo,4/23/2009,laceration,290
Aleppo,4/23/2009,migraine,25
Aleppo,4/23/2009,pregnant,19
Aleppo,4/23/2009,rash,0
Aleppo,4/23/2009,urinate,298
Aleppo,4/23/2009,vaginal,12
Aleppo,4/23/2009,vision,206
Aleppo,4/23/2009,vomiting,1175
Aleppo,4/23/2009,Heart Problems,227
Aleppo,4/23/2009,Vocal Problems,38
Aleppo,4/23/2009,others,11296
Aleppo,4/24/2009,abdominal pain,762
Aleppo,4/24/2009,abscess,28
Aleppo,4/24/2009,injury,1251
Aleppo,4/24/2009,bleeding,498
Aleppo,4/24/2009,body pain,3984
Aleppo,4/24/2009,breathing,53
Aleppo,4/24/2009,chest,0
Aleppo,4/24/2009,cough,513
Aleppo,4/24/2009,cramp,0
Aleppo,4/24/2009,deficit,0
Aleppo,4/24/2009,diabetic,0
Aleppo,4/24/2009,diarrhea,0
Aleppo,4/24/2009,dizziness,182
Aleppo,4/24/2009,fatigue,0
Aleppo,4/24/2009,fever,1437
Aleppo,4/24/2009,headache,451
Aleppo,4/24/2009,infections,0
Aleppo,4/24/2009,laceration,214
Aleppo,4/24/2009,migraine,28
Aleppo,4/24/2009,pregnant,16
Aleppo,4/24/2009,rash,0
Aleppo,4/24/2009,urinate,256
Aleppo,4/24/2009,vaginal,10
Aleppo,4/24/2009,vision,186
Aleppo,4/24/2009,vomiting,1085
Aleppo,4/24/2009,Heart Problems,165
Aleppo,4/24/2009,Vocal Problems,29
Aleppo,4/24/2009,others,9026
Aleppo,4/25/2009,abdominal pain,1290
Aleppo,4/25/2009,abscess,34
Aleppo,4/25/2009,injury,1816
Aleppo,4/25/2009,bleeding,786
Aleppo,4/25/2009,body pain,5906
Aleppo,4/25/2009,breathing,78
Aleppo,4/25/2009,chest,0
Aleppo,4/25/2009,cough,742
Aleppo,4/25/2009,cramp,0
Aleppo,4/25/2009,deficit,0
Aleppo,4/25/2009,diabetic,0
Aleppo,4/25/2009,diarrhea,0
Aleppo,4/25/2009,dizziness,243
Aleppo,4/25/2009,fatigue,0
Aleppo,4/25/2009,fever,2007
Aleppo,4/25/2009,headache,636
Aleppo,4/25/2009,infections,0
Aleppo,4/25/2009,laceration,345
Aleppo,4/25/2009,migraine,35
Aleppo,4/25/2009,pregnant,26
Aleppo,4/25/2009,rash,0
Aleppo,4/25/2009,urinate,361
Aleppo,4/25/2009,vaginal,8
Aleppo,4/25/2009,vision,223
Aleppo,4/25/2009,vomiting,1770
Aleppo,4/25/2009,Heart Problems,251
Aleppo,4/25/2009,Vocal Problems,47
Aleppo,4/25/2009,others,13308
Aleppo,4/26/2009,abdominal pain,1264
Aleppo,4/26/2009,abscess,25
Aleppo,4/26/2009,injury,1106
Aleppo,4/26/2009,bleeding,527
Aleppo,4/26/2009,body pain,3918
Aleppo,4/26/2009,breathing,47
Aleppo,4/26/2009,chest,0
Aleppo,4/26/2009,cough,400
Aleppo,4/26/2009,cramp,0
Aleppo,4/26/2009,deficit,0
Aleppo,4/26/2009,diabetic,0
Aleppo,4/26/2009,diarrhea,0
Aleppo,4/26/2009,dizziness,157
Aleppo,4/26/2009,fatigue,0
Aleppo,4/26/2009,fever,1415
Aleppo,4/26/2009,headache,368
Aleppo,4/26/2009,infections,0
Aleppo,4/26/2009,laceration,188
Aleppo,4/26/2009,migraine,18
Aleppo,4/26/2009,pregnant,11
Aleppo,4/26/2009,rash,0
Aleppo,4/26/2009,urinate,190
Aleppo,4/26/2009,vaginal,2
Aleppo,4/26/2009,vision,129
Aleppo,4/26/2009,vomiting,1660
Aleppo,4/26/2009,Heart Problems,127
Aleppo,4/26/2009,Vocal Problems,20
Aleppo,4/26/2009,others,7592
Aleppo,4/27/2009,abdominal pain,2022
Aleppo,4/27/2009,abscess,33
Aleppo,4/27/2009,injury,1863
Aleppo,4/27/2009,bleeding,846
Aleppo,4/27/2009,body pain,6648
Aleppo,4/27/2009,breathing,82
Aleppo,4/27/2009,chest,0
Aleppo,4/27/2009,cough,677
Aleppo,4/27/2009,cramp,0
Aleppo,4/27/2009,deficit,0
Aleppo,4/27/2009,diabetic,0
Aleppo,4/27/2009,diarrhea,0
Aleppo,4/27/2009,dizziness,235
Aleppo,4/27/2009,fatigue,0
Aleppo,4/27/2009,fever,2320
Aleppo,4/27/2009,headache,575
Aleppo,4/27/2009,infections,0
Aleppo,4/27/2009,laceration,304
Aleppo,4/27/2009,migraine,38
Aleppo,4/27/2009,pregnant,21
Aleppo,4/27/2009,rash,0
Aleppo,4/27/2009,urinate,315
Aleppo,4/27/2009,vaginal,22
Aleppo,4/27/2009,vision,195
Aleppo,4/27/2009,vomiting,2607
Aleppo,4/27/2009,Heart Problems,229
Aleppo,4/27/2009,Vocal Problems,51
Aleppo,4/27/2009,others,12658
Aleppo,4/28/2009,abdominal pain,2298
Aleppo,4/28/2009,abscess,30
Aleppo,4/28/2009,injury,2044
Aleppo,4/28/2009,bleeding,905
Aleppo,4/28/2009,body pain,7201
Aleppo,4/28/2009,breathing,88
Aleppo,4/28/2009,chest,0
Aleppo,4/28/2009,cough,763
Aleppo,4/28/2009,cramp,0
Aleppo,4/28/2009,deficit,0
Aleppo,4/28/2009,diabetic,0
Aleppo,4/28/2009,diarrhea,0
Aleppo,4/28/2009,dizziness,273
Aleppo,4/28/2009,fatigue,0
Aleppo,4/28/2009,fever,2542
Aleppo,4/28/2009,headache,648
Aleppo,4/28/2009,infections,0
Aleppo,4/28/2009,laceration,331
Aleppo,4/28/2009,migraine,56
Aleppo,4/28/2009,pregnant,26
Aleppo,4/28/2009,rash,0
Aleppo,4/28/2009,urinate,332
Aleppo,4/28/2009,vaginal,14
Aleppo,4/28/2009,vision,252
Aleppo,4/28/2009,vomiting,3107
Aleppo,4/28/2009,Heart Problems,274
Aleppo,4/28/2009,Vocal Problems,35
Aleppo,4/28/2009,others,14039
Aleppo,4/29/2009,abdominal pain,2751
Aleppo,4/29/2009,abscess,58
Aleppo,4/29/2009,injury,2544
Aleppo,4/29/2009,bleeding,1128
Aleppo,4/29/2009,body pain,8679
Aleppo,4/29/2009,breathing,99
Aleppo,4/29/2009,chest,0
Aleppo,4/29/2009,cough,897
Aleppo,4/29/2009,cramp,0
Aleppo,4/29/2009,deficit,0
Aleppo,4/29/2009,diabetic,0
Aleppo,4/29/2009,diarrhea,0
Aleppo,4/29/2009,dizziness,282
Aleppo,4/29/2009,fatigue,0
Aleppo,4/29/2009,fever,3035
Aleppo,4/29/2009,headache,833
Aleppo,4/29/2009,infections,0
Aleppo,4/29/2009,laceration,406
Aleppo,4/29/2009,migraine,49
Aleppo,4/29/2009,pregnant,32
Aleppo,4/29/2009,rash,0
Aleppo,4/29/2009,urinate,430
Aleppo,4/29/2009,vaginal,21
Aleppo,4/29/2009,vision,294
Aleppo,4/29/2009,vomiting,3580
Aleppo,4/29/2009,Heart Problems,311
Aleppo,4/29/2009,Vocal Problems,50
Aleppo,4/29/2009,others,16695
Aleppo,4/30/2009,abdominal pain,2332
Aleppo,4/30/2009,abscess,23
Aleppo,4/30/2009,injury,1020
Aleppo,4/30/2009,bleeding,789
Aleppo,4/30/2009,body pain,4605
Aleppo,4/30/2009,breathing,36
Aleppo,4/30/2009,chest,0
Aleppo,4/30/2009,cough,350
Aleppo,4/30/2009,cramp,0
Aleppo,4/30/2009,deficit,0
Aleppo,4/30/2009,diabetic,0
Aleppo,4/30/2009,diarrhea,0
Aleppo,4/30/2009,dizziness,137
Aleppo,4/30/2009,fatigue,0
Aleppo,4/30/2009,fever,1722
Aleppo,4/30/2009,headache,355
Aleppo,4/30/2009,infections,0
Aleppo,4/30/2009,laceration,171
Aleppo,4/30/2009,migraine,17
Aleppo,4/30/2009,pregnant,11
Aleppo,4/30/2009,rash,0
Aleppo,4/30/2009,urinate,167
Aleppo,4/30/2009,vaginal,16
Aleppo,4/30/2009,vision,110
Aleppo,4/30/2009,vomiting,3060
Aleppo,4/30/2009,Heart Problems,109
Aleppo,4/30/2009,Vocal Problems,31
Aleppo,4/30/2009,others,7412
Aleppo,5/1/2009,abdominal pain,2659
Aleppo,5/1/2009,abscess,20
Aleppo,5/1/2009,injury,1083
Aleppo,5/1/2009,bleeding,866
Aleppo,5/1/2009,body pain,5097
Aleppo,5/1/2009,breathing,44
Aleppo,5/1/2009,chest,0
Aleppo,5/1/2009,cough,347
Aleppo,5/1/2009,cramp,0
Aleppo,5/1/2009,deficit,0
Aleppo,5/1/2009,diabetic,0
Aleppo,5/1/2009,diarrhea,0
Aleppo,5/1/2009,dizziness,115
Aleppo,5/1/2009,fatigue,0
Aleppo,5/1/2009,fever,1841
Aleppo,5/1/2009,headache,366
Aleppo,5/1/2009,infections,0
Aleppo,5/1/2009,laceration,153
Aleppo,5/1/2009,migraine,15
Aleppo,5/1/2009,pregnant,17
Aleppo,5/1/2009,rash,0
Aleppo,5/1/2009,urinate,175
Aleppo,5/1/2009,vaginal,12
Aleppo,5/1/2009,vision,114
Aleppo,5/1/2009,vomiting,3496
Aleppo,5/1/2009,Heart Problems,100
Aleppo,5/1/2009,Vocal Problems,24
Aleppo,5/1/2009,others,7609
Aleppo,5/2/2009,abdominal pain,3781
Aleppo,5/2/2009,abscess,48
Aleppo,5/2/2009,injury,2586
Aleppo,5/2/2009,bleeding,1445
Aleppo,5/2/2009,body pain,10086
Aleppo,5/2/2009,breathing,123
Aleppo,5/2/2009,chest,0
Aleppo,5/2/2009,cough,992
Aleppo,5/2/2009,cramp,0
Aleppo,5/2/2009,deficit,0
Aleppo,5/2/2009,diabetic,0
Aleppo,5/2/2009,diarrhea,0
Aleppo,5/2/2009,dizziness,276
Aleppo,5/2/2009,fatigue,0
Aleppo,5/2/2009,fever,3699
Aleppo,5/2/2009,headache,869
Aleppo,5/2/2009,infections,0
Aleppo,5/2/2009,laceration,434
Aleppo,5/2/2009,migraine,51
Aleppo,5/2/2009,pregnant,40
Aleppo,5/2/2009,rash,0
Aleppo,5/2/2009,urinate,474
Aleppo,5/2/2009,vaginal,23
Aleppo,5/2/2009,vision,299
Aleppo,5/2/2009,vomiting,5126
Aleppo,5/2/2009,Heart Problems,310
Aleppo,5/2/2009,Vocal Problems,55
Aleppo,5/2/2009,others,18348
Aleppo,5/3/2009,abdominal pain,3428
Aleppo,5/3/2009,abscess,17
Aleppo,5/3/2009,injury,1099
Aleppo,5/3/2009,bleeding,1036
Aleppo,5/3/2009,body pain,5863
Aleppo,5/3/2009,breathing,50
Aleppo,5/3/2009,chest,0
Aleppo,5/3/2009,cough,343
Aleppo,5/3/2009,cramp,0
Aleppo,5/3/2009,deficit,0
Aleppo,5/3/2009,diabetic,0
Aleppo,5/3/2009,diarrhea,0
Aleppo,5/3/2009,dizziness,126
Aleppo,5/3/2009,fatigue,0
Aleppo,5/3/2009,fever,2268
Aleppo,5/3/2009,headache,420
Aleppo,5/3/2009,infections,0
Aleppo,5/3/2009,laceration,169
Aleppo,5/3/2009,migraine,24
Aleppo,5/3/2009,pregnant,17
Aleppo,5/3/2009,rash,0
Aleppo,5/3/2009,urinate,178
Aleppo,5/3/2009,vaginal,16
Aleppo,5/3/2009,vision,123
Aleppo,5/3/2009,vomiting,4568
Aleppo,5/3/2009,Heart Problems,136
Aleppo,5/3/2009,Vocal Problems,28
Aleppo,5/3/2009,others,8549
Aleppo,5/4/2009,abdominal pain,3976
Aleppo,5/4/2009,abscess,25
Aleppo,5/4/2009,injury,1349
Aleppo,5/4/2009,bleeding,1167
Aleppo,5/4/2009,body pain,6890
Aleppo,5/4/2009,breathing,50
Aleppo,5/4/2009,chest,0
Aleppo,5/4/2009,cough,515
Aleppo,5/4/2009,cramp,0
Aleppo,5/4/2009,deficit,0
Aleppo,5/4/2009,diabetic,0
Aleppo,5/4/2009,diarrhea,0
Aleppo,5/4/2009,dizziness,147
Aleppo,5/4/2009,fatigue,0
Aleppo,5/4/2009,fever,2591
Aleppo,5/4/2009,headache,507
Aleppo,5/4/2009,infections,0
Aleppo,5/4/2009,laceration,193
Aleppo,5/4/2009,migraine,21
Aleppo,5/4/2009,pregnant,17
Aleppo,5/4/2009,rash,0
Aleppo,5/4/2009,urinate,199
Aleppo,5/4/2009,vaginal,28
Aleppo,5/4/2009,vision,166
Aleppo,5/4/2009,vomiting,5226
Aleppo,5/4/2009,Heart Problems,145
Aleppo,5/4/2009,Vocal Problems,20
Aleppo,5/4/2009,others,10291
Aleppo,5/5/2009,abdominal pain,4955
Aleppo,5/5/2009,abscess,47
Aleppo,5/5/2009,injury,2534
Aleppo,5/5/2009,bleeding,1690
Aleppo,5/5/2009,body pain,10776
Aleppo,5/5/2009,breathing,105
Aleppo,5/5/2009,chest,0
Aleppo,5/5/2009,cough,817
Aleppo,5/5/2009,cramp,0
Aleppo,5/5/2009,deficit,0
Aleppo,5/5/2009,diabetic,0
Aleppo,5/5/2009,diarrhea,0
Aleppo,5/5/2009,dizziness,292
Aleppo,5/5/2009,fatigue,0
Aleppo,5/5/2009,fever,3899
Aleppo,5/5/2009,headache,871
Aleppo,5/5/2009,infections,0
Aleppo,5/5/2009,laceration,382
Aleppo,5/5/2009,migraine,56
Aleppo,5/5/2009,pregnant,28
Aleppo,5/5/2009,rash,0
Aleppo,5/5/2009,urinate,400
Aleppo,5/5/2009,vaginal,35
Aleppo,5/5/2009,vision,313
Aleppo,5/5/2009,vomiting,6621
Aleppo,5/5/2009,Heart Problems,291
Aleppo,5/5/2009,Vocal Problems,68
Aleppo,5/5/2009,others,17888
Aleppo,5/6/2009,abdominal pain,5486
Aleppo,5/6/2009,abscess,39
Aleppo,5/6/2009,injury,2414
Aleppo,5/6/2009,bleeding,1830
Aleppo,5/6/2009,body pain,10868
Aleppo,5/6/2009,breathing,88
Aleppo,5/6/2009,chest,0
Aleppo,5/6/2009,cough,821
Aleppo,5/6/2009,cramp,0
Aleppo,5/6/2009,deficit,0
Aleppo,5/6/2009,diabetic,0
Aleppo,5/6/2009,diarrhea,0
Aleppo,5/6/2009,dizziness,270
Aleppo,5/6/2009,fatigue,0
Aleppo,5/6/2009,fever,4143
Aleppo,5/6/2009,headache,888
Aleppo,5/6/2009,infections,0
Aleppo,5/6/2009,laceration,343
Aleppo,5/6/2009,migraine,49
Aleppo,5/6/2009,pregnant,30
Aleppo,5/6/2009,rash,0
Aleppo,5/6/2009,urinate,386
Aleppo,5/6/2009,vaginal,24
Aleppo,5/6/2009,vision,277
Aleppo,5/6/2009,vomiting,7418
Aleppo,5/6/2009,Heart Problems,258
Aleppo,5/6/2009,Vocal Problems,55
Aleppo,5/6/2009,others,17190
Aleppo,5/7/2009,abdominal pain,6399
Aleppo,5/7/2009,abscess,62
Aleppo,5/7/2009,injury,2949
Aleppo,5/7/2009,bleeding,2013
Aleppo,5/7/2009,body pain,13086
Aleppo,5/7/2009,breathing,102
Aleppo,5/7/2009,chest,0
Aleppo,5/7/2009,cough,1029
Aleppo,5/7/2009,cramp,0
Aleppo,5/7/2009,deficit,0
Aleppo,5/7/2009,diabetic,0
Aleppo,5/7/2009,diarrhea,0
Aleppo,5/7/2009,dizziness,365
Aleppo,5/7/2009,fatigue,0
Aleppo,5/7/2009,fever,4858
Aleppo,5/7/2009,headache,1049
Aleppo,5/7/2009,infections,0
Aleppo,5/7/2009,laceration,418
Aleppo,5/7/2009,migraine,55
Aleppo,5/7/2009,pregnant,31
Aleppo,5/7/2009,rash,0
Aleppo,5/7/2009,urinate,441
Aleppo,5/7/2009,vaginal,28
Aleppo,5/7/2009,vision,349
Aleppo,5/7/2009,vomiting,8523
Aleppo,5/7/2009,Heart Problems,333
Aleppo,5/7/2009,Vocal Problems,71
Aleppo,5/7/2009,others,20853
Aleppo,5/8/2009,abdominal pain,5913
Aleppo,5/8/2009,abscess,10
Aleppo,5/8/2009,injury,921
Aleppo,5/8/2009,bleeding,1579
Aleppo,5/8/2009,body pain,7313
Aleppo,5/8/2009,breathing,24
Aleppo,5/8/2009,chest,0
Aleppo,5/8/2009,cough,212
Aleppo,5/8/2009,cramp,0
Aleppo,5/8/2009,deficit,0
Aleppo,5/8/2009,diabetic,0
Aleppo,5/8/2009,diarrhea,0
Aleppo,5/8/2009,dizziness,62
Aleppo,5/8/2009,fatigue,0
Aleppo,5/8/2009,fever,2858
Aleppo,5/8/2009,headache,379
Aleppo,5/8/2009,infections,0
Aleppo,5/8/2009,laceration,98
Aleppo,5/8/2009,migraine,20
Aleppo,5/8/2009,pregnant,18
Aleppo,5/8/2009,rash,0
Aleppo,5/8/2009,urinate,116
Aleppo,5/8/2009,vaginal,30
Aleppo,5/8/2009,vision,75
Aleppo,5/8/2009,vomiting,7825
Aleppo,5/8/2009,Heart Problems,71
Aleppo,5/8/2009,Vocal Problems,8
Aleppo,5/8/2009,others,7291
Aleppo,5/9/2009,abdominal pain,7044
Aleppo,5/9/2009,abscess,13
Aleppo,5/9/2009,injury,1797
Aleppo,5/9/2009,bleeding,1972
Aleppo,5/9/2009,body pain,10284
Aleppo,5/9/2009,breathing,55
Aleppo,5/9/2009,chest,0
Aleppo,5/9/2009,cough,501
Aleppo,5/9/2009,cramp,0
Aleppo,5/9/2009,deficit,0
Aleppo,5/9/2009,diabetic,0
Aleppo,5/9/2009,diarrhea,0
Aleppo,5/9/2009,dizziness,174
Aleppo,5/9/2009,fatigue,0
Aleppo,5/9/2009,fever,4006
Aleppo,5/9/2009,headache,612
Aleppo,5/9/2009,infections,0
Aleppo,5/9/2009,laceration,237
Aleppo,5/9/2009,migraine,26
Aleppo,5/9/2009,pregnant,27
Aleppo,5/9/2009,rash,0
Aleppo,5/9/2009,urinate,234
Aleppo,5/9/2009,vaginal,30
Aleppo,5/9/2009,vision,147
Aleppo,5/9/2009,vomiting,9141
Aleppo,5/9/2009,Heart Problems,166
Aleppo,5/9/2009,Vocal Problems,32
Aleppo,5/9/2009,others,12951
Aleppo,5/10/2009,abdominal pain,8279
Aleppo,5/10/2009,abscess,58
Aleppo,5/10/2009,injury,2510
Aleppo,5/10/2009,bleeding,2433
Aleppo,5/10/2009,body pain,13518
Aleppo,5/10/2009,breathing,85
Aleppo,5/10/2009,chest,0
Aleppo,5/10/2009,cough,791
Aleppo,5/10/2009,cramp,0
Aleppo,5/10/2009,deficit,0
Aleppo,5/10/2009,diabetic,0
Aleppo,5/10/2009,diarrhea,0
Aleppo,5/10/2009,dizziness,267
Aleppo,5/10/2009,fatigue,0
Aleppo,5/10/2009,fever,5154
Aleppo,5/10/2009,headache,930
Aleppo,5/10/2009,infections,0
Aleppo,5/10/2009,laceration,363
Aleppo,5/10/2009,migraine,50
Aleppo,5/10/2009,pregnant,38
Aleppo,5/10/2009,rash,0
Aleppo,5/10/2009,urinate,351
Aleppo,5/10/2009,vaginal,48
Aleppo,5/10/2009,vision,280
Aleppo,5/10/2009,vomiting,10784
Aleppo,5/10/2009,Heart Problems,241
Aleppo,5/10/2009,Vocal Problems,39
Aleppo,5/10/2009,others,18613
Aleppo,5/11/2009,abdominal pain,8250
Aleppo,5/11/2009,abscess,17
Aleppo,5/11/2009,injury,1242
Aleppo,5/11/2009,bleeding,2159
Aleppo,5/11/2009,body pain,10044
Aleppo,5/11/2009,breathing,23
Aleppo,5/11/2009,chest,0
Aleppo,5/11/2009,cough,320
Aleppo,5/11/2009,cramp,0
Aleppo,5/11/2009,deficit,0
Aleppo,5/11/2009,diabetic,0
Aleppo,5/11/2009,diarrhea,0
Aleppo,5/11/2009,dizziness,105
